"ID_UNICO","Deposito","Estado","Coord..N","Coord..E","Region","Comuna","Clasificacion_PNN","Elementos_Superan_Norma","Porcentaje_Superan_Norma","Numero_Elementos_Superan_Norma","localidades","total_personas","Tipo_red_hidrica","Nombre_red_hidrica","Puntaje_Elementos","Puntaje_Localidades","Puntaje_Personas","Puntaje_Tipo_Red","Puntaje_Clasificacion_PNN","Puntaje_Total","Ranking"
"MINERA LAS CENIZAS S.A/LAS CENIZAS CABILDO/VALPARAISO/CABILDO/LAS CENIZAS 4","LAS CENIZAS 4","INACTIVO",6410847,304673,"VALPARAISO","CABILDO","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu,Zn,Mo","2774.7%,0.6%,120%",3,"Cabildo, SAN JOSÉ",19688,"Rio, Quebrada, distribucion y conduccion, Rios secundarios","Rio La Ligua, Quebrada Las Guias, rio la ligua, la laja, del bajo (del hambre)",0.43,0.6,0.3,1,0,58.25,102
"MINERA LAS CENIZAS S.A/LAS CENIZAS CABILDO/VALPARAISO/CABILDO/LAS CENIZAS 2","LAS CENIZAS 2","INACTIVO",6409646,304273,"VALPARAISO","CABILDO","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","480.20%",1,"Cabildo",19388,"Rio, Quebrada, distribucion y conduccion, Rios secundarios","Rio La Ligua, Quebrada Las Guias, rio la ligua, del bajo (del hambre)",0.14,0.6,0.3,1,0,51,226
"MINERA LAS CENIZAS S.A/LAS CENIZAS CABILDO/VALPARAISO/CABILDO/N PASTA (DEP)","N PASTA (DEP)","ACTIVO",6405805,303730,"VALPARAISO","CABILDO","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","589%",1,NA,NA,"Quebrada, distribucion y conduccion","Quebrada Del Cobre O De Los Perales, Quebrada Rincon Del Chinchorro, rio la ligua, la laja",0.14,0,0,1,0,28.5,502
"JORGE WENKE/EL ESCORIAL/VALPARAISO/CABILDO/EL ESCORIAL 2","EL ESCORIAL 2","INACTIVO",6410687,305629,"VALPARAISO","CABILDO","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","557.10%",1,"Cabildo, SAN JOSÉ",19688,"Rio, Quebrada, distribucion y conduccion, Rios secundarios","Rio La Ligua, Quebrada Las Guias, rio la ligua, la laja, del bajo (del hambre)",0.14,0.6,0.3,1,0,51,226
"CODELCO/ANDINA/METROPOLITANA/TIL TIL/OVEJERIA","OVEJERIA","ACTIVO",6341294,331927,"METROPOLITANA","TIL TIL","Generación de ácido incierto (ID) (-20 ≤ PNN ≤ 20 o 0.3 ≤ % de S ≤ 1)","Cu,Mo","302.2%,100%",2,NA,NA,"Tranque o Embalse Menor","EMBALSE HUECHUN",0.29,0,0,1,0.5,44.75,285
"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/JAVITO","JAVITO","ACTIVO",6397027,300500,"VALPARAISO","LA LIGUA","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","1901.10%",1,NA,NA,"Quebrada, Estero","Quebrada Los Leones, Quebrada La Colmena, Quebrada Lo Molle, Estero De La Patagua, Quebrada El Panteon, Quebrada El Agua De La Piedra",0.14,0,0,1,0,28.5,502
"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 1","LA PATAGUA 1","INACTIVO",6397712,299724,"VALPARAISO","LA LIGUA","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","3181.30%",1,NA,NA,"Quebrada, Estero","Quebrada Los Leones, Quebrada Lo Molle, Estero De La Patagua, Quebrada La Fuentecilla, Quebrada El Panteon",0.14,0,0,1,0,28.5,502
"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 2","LA PATAGUA 2","INACTIVO",6397823,299625,"VALPARAISO","LA LIGUA","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","4023.10%",1,NA,NA,"Quebrada, Estero","Quebrada Los Leones, Quebrada Lo Molle, Estero De La Patagua, Quebrada La Fuentecilla, Quebrada El Panteon",0.14,0,0,1,0,28.5,502
"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 3","LA PATAGUA 3","INACTIVO",6397696,299641,"VALPARAISO","LA LIGUA","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","3164.80%",1,NA,NA,"Quebrada, Estero","Quebrada Los Leones, Quebrada Lo Molle, Estero De La Patagua, Quebrada La Fuentecilla, Quebrada El Panteon",0.14,0,0,1,0,28.5,502
"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 4","LA PATAGUA 4","INACTIVO",6397793,299464,"VALPARAISO","LA LIGUA","No genera ácido (NGA) (PNN > 20 o % de S < 0.3)","Cu","2933%",1,NA,NA,"Quebrada, Estero","Quebrada Los Leones, Quebrada Lo Molle, Estero De La Patagua, Quebrada La Fuentecilla, Quebrada El Panteon",0.14,0,0,1,0,28.5,502
