"IDQ","Empresa o Dueno","Faena","Deposito","Recurso","masa (t)","Estado","Origen","Region","Comuna","Coord. N","Coord. E","Cu(g/t)","V(g/t)","Cr(g/t)","Ni(g/t)","Zn(g/t)","Pb(g/t)","Mo(g/t)","Ag(g/t)","Cd(g/t)","S(g/t)","Si(g/t)","Al(g/t)","Ti(g/t)","Fe(g/t)","Ca(g/t)","Mg(g/t)","Mn(g/t)","Na(g/t)","K(g/t)","P(g/t)","Hg(g/t)","STotal(%)","CaO(%)","ID_UNICO","AP1","NP1","NNP1","RPN1","Numero_Elementos_Superan_Norma","Elementos_Superan_Norma","Criterio_PN_PA","Criterio_PNN","Clasificacionn","Clasificacion"
2,"MINERA LAS CENIZAS S.A","LAS CENIZAS CABILDO","LAS CENIZAS 4","COBRE","N/A","INACTIVO","MURO","VALPARAISO","CABILDO",6410847,304673,2616,49,65,32,362,140,88,8,2,6300,221853.333333333,26338.2352941176,2460,45325,118000,26305.8823529412,1781.69014084507,4043.54838709677,6181.91489361702,414.788732394366,0.005,0.63,16.52,"MINERA LAS CENIZAS S.A/LAS CENIZAS CABILDO/VALPARAISO/CABILDO/LAS CENIZAS 4",19.6875,295.708,276.0205,15.0200888888889,3,"Cu,Zn,Mo","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
4,"MINERA LAS CENIZAS S.A","LAS CENIZAS CABILDO","LAS CENIZAS 2","COBRE","858000","INACTIVO","CUBETA","VALPARAISO","CABILDO",6409646,304273,528,32,36,49,84,94,9,6,1,13600,199686.666666667,22738.2352941176,2040,50050,152571.428571429,26558.8235294118,2169.01408450704,630.645161290323,3360.63829787234,545.774647887324,0.005,1.36,21.36,"MINERA LAS CENIZAS S.A/LAS CENIZAS CABILDO/VALPARAISO/CABILDO/LAS CENIZAS 2",42.5,382.344,339.844,8.99632941176471,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
5,"MINERA LAS CENIZAS S.A","LAS CENIZAS CABILDO","N PASTA (DEP)","COBRE","8780000","ACTIVO","PASTA","VALPARAISO","CABILDO",6405805,303730,627,104,52,10,90,37,2.5,0.5,0.5,900,221620,38541.1764705882,3840,30590,70357.1428571429,46541.1764705882,2014.08450704225,9682.25806451613,9210.63829787234,502.112676056338,0.005,0.09,9.85,"MINERA LAS CENIZAS S.A/LAS CENIZAS CABILDO/VALPARAISO/CABILDO/N PASTA (DEP)",2.8125,176.315,173.5025,62.6897777777778,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
6,"JORGE WENKE","EL ESCORIAL","EL ESCORIAL 2","COBREPLATAORO","120000","INACTIVO","CUBETA","VALPARAISO","CABILDO",6410687,305629,598,63,20,2.5,148,36,2.5,0.5,1,50,266840,32373.5294117647,2340,33390,49142.8571428571,15429.4117647059,1781.69014084507,111.290322580645,12031.914893617,305.633802816901,0.005,0.01,6.88,"JORGE WENKE/EL ESCORIAL/VALPARAISO/CABILDO/EL ESCORIAL 2",0.3125,123.152,122.8395,394.0864,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
9,"CODELCO","ANDINA","OVEJERIA","COBRE","N/A","ACTIVO","MURO","METROPOLITANA","TIL TIL",6341294,331927,366,59,69,14,111,2.5,80,0.5,1,5600,296146.666666667,42855.8823529412,2400,20510,5000,12562.7450980392,619.718309859155,5750,19209.5744680851,283.802816901408,0.005,0.56,0.7,"CODELCO/ANDINA/METROPOLITANA/TIL TIL/OVEJERIA",17.5,12.53,-4.97,0.716,2,"Cu,Mo","Potencial generador de acidez(PN/PA < 1)","Incertidumbre (-20 <= PNN <= 20)","Posible","Incertidumbre"
10,"CIA. MINERA LA PATAGUA","LA PATAGUA","JAVITO","COBRE","2825285","ACTIVO","CUBETA","VALPARAISO","LA LIGUA",6397027,300500,1821,62,13,6,56,54,2.5,0.5,0.5,3500,194553.333333333,32400,3240,20020,133357.142857143,21415.6862745098,1471.83098591549,8161.29032258065,7882.97872340426,567.605633802817,0.005,0.35,18.67,"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/JAVITO",10.9375,334.193,323.2555,30.5547885714286,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
11,"CIA. MINERA LA PATAGUA","LA PATAGUA","LA PATAGUA 1","COBRE","345000","INACTIVO","CUBETA","VALPARAISO","LA LIGUA",6397712,299724,2986,127,37,6,153,70,2.5,3,0.5,1600,217886.666666667,35179.4117647059,4800,34265,76428.5714285714,28160.7843137255,1936.61971830986,10424.1935483871,9667.02127659574,676.760563380282,0.005,0.16,10.7,"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 1",5,191.53,186.53,38.306,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
12,"CIA. MINERA LA PATAGUA","LA PATAGUA","LA PATAGUA 2","COBRE","922500","INACTIVO","CUBETA","VALPARAISO","LA LIGUA",6397823,299625,3752,101,31,10,118,84,2.5,0.5,2,50,253120,37191.1764705882,3600,26145,47642.8571428571,34737.2549019608,1394.3661971831,16100,4688.29787234042,436.619718309859,0.005,0.01,6.67,"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 2",0.3125,119.393,119.0805,382.0576,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
13,"CIA. MINERA LA PATAGUA","LA PATAGUA","LA PATAGUA 3","COBRE","345000","INACTIVO","CUBETA","VALPARAISO","LA LIGUA",6397696,299641,2971,65,26,12,165,144,2.5,0.5,1,1100,199780,31764.7058823529,3060,23450,112928.571428571,39290.1960784314,1936.61971830986,10609.6774193548,5476.59574468085,392.957746478873,0.005,0.11,15.81,"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 3",3.4375,282.999,279.5615,82.3269818181818,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
14,"CIA. MINERA LA PATAGUA","LA PATAGUA","LA PATAGUA 4","COBRE","495610","INACTIVO","CUBETA","VALPARAISO","LA LIGUA",6397793,299464,2760,56,26,9,169,129,2.5,0.5,1,1000,184006.666666667,30547.0588235294,2820,22995,129857.142857143,40133.3333333333,2323.94366197183,9682.25806451613,5103.1914893617,371.12676056338,0.005,0.1,18.18,"CIA. MINERA LA PATAGUA/LA PATAGUA/VALPARAISO/LA LIGUA/LA PATAGUA 4",3.125,325.422,322.297,104.13504,1,"Cu","Potencial no generador de acidez (PN/PA > 4)","Potencial no generador de acidez (PNN > 20)","Improbable","Potencial no generador de acidez"
